id,lon,lat
estacao1,-38.4865632,-3.738701
estacao2,-38.4934887,-3.7485103
estacao3,-38.5001895,-3.751961
estacao4,-38.5121059,-3.7608053
estacao5,-38.5289998,-3.761192
estacao6,-38.5340665,-3.7695418
estacao7,-38.5529358,-3.7734828
estacao8,-38.6603147,-3.7357649
estacao9,-38.6400157,-3.7625697
estacao10,-38.6220771,-3.7695686
estacao11,-38.6152998,-3.7651287
estacao12,-38.6122586,-3.7581094
estacao13,-38.6028631,-3.749506
estacao14,-38.5916287,-3.734697
estacao15,-38.58097,-3.7299642
estacao16,-38.5652726,-3.720413
estacao17,-38.5369844,-3.7192908
estacao18,-38.5638658,-3.7757912
estacao19,-38.6204249,-3.8950133
estacao20,-38.6268729,-3.8875204
estacao21,-38.6255586,-3.8779348
estacao22,-38.6200306,-3.8674874
estacao23,-38.6086573,-3.8510345
estacao24,-38.6006885,-3.839444
estacao25,-38.5920417,-3.8267294
estacao26,-38.5857147,-3.8171006
estacao27,-38.5777348,-3.8074449
estacao28,-38.5749936,-3.7985321
estacao29,-38.5723825,-3.7841789
estacao30,-38.5600252,-3.7662377
estacao31,-38.5575385,-3.75734
estacao32,-38.55165,-3.7514799
estacao33,-38.5458588,-3.7457007
estacao34,-38.5396476,-3.7391232
estacao35,-38.5348996,-3.7317481
estacao36,-38.5324792,-3.7260303
estacao37,-38.5353224,-3.7200757
estacao38,-38.4802841,-3.7258758
estacao39,-38.4770246,-3.7206244
estacao40,-38.5348356027185,-3.71957615191315
estacao41,-38.5180011782568,-3.72942543664656
estacao42,-38.5022983084538,-3.73443688088448
estacao43,-38.4850679398154,-3.73735297921662
terminal1,-38.6075614533463,-3.77286532791303
terminal2,-38.5701569317679,-3.77153386705109
terminal3,-38.5633245208484,-3.77635336009962
terminal4,-38.5016903009219,-3.83123909611266
terminal5,-38.4851678580021,-3.73828564538338
terminal6,-38.5867403004286,-3.78985920051256
terminal7,-38.5841287246047,-3.73754953093224
